Number,Order of Magnitude,Time
4781,3,4.061184
2251,3,3.992576
3689,3,4.001792
3987,3,3.995648
1027,3,4.002816
1397,3,3.9936
9847,3,3.991552
5743,3,4.022272
5557,3,3.986432
3031,3,3.985408
7971,3,4.984832
2529,3,3.98848
6957,3,3.984384
2517,3,4.042752
9007,3,4.272128
1331,3,3.99872
2457,3,4.041728
5331,3,5.015552
8281,3,4.421632
5593,3,3.98848
5611,3,3.99872
2467,3,3.989504
7673,3,3.987456
8973,3,4.692992
4881,3,3.98848
1437,3,3.990528
1709,3,3.992576
5963,3,4.691968
9581,3,3.986432
6557,3,4.286464
7959,3,5.042176
7887,3,4.994048
1591,3,3.992576
3311,3,4.041728
8397,3,3.984384
8947,3,4.890624
5661,3,3.989504
2683,3,3.995648
3313,3,4.011008
9187,3,3.986432
4247,3,5.121024
2163,3,3.987456
4187,3,3.994624
1019,3,4.004864
1867,3,3.98336
4549,3,4.02944
4547,3,4.92032
2091,3,3.98848
9741,3,5.165056
8457,3,3.984384
7601,3,3.98848
3253,3,4.021248
3887,3,4.02944
7621,3,4.868096
1019,3,3.9936
5263,3,4.025344
9249,3,4.00896
1953,3,4.908032
4183,3,3.992576
4581,3,4.859904
4551,3,3.98848
3227,3,3.984384
3963,3,3.994624
2589,3,3.98848
6459,3,4.872192
4037,3,4.913152
2967,3,3.995648
8903,3,3.986432
1993,3,3.98848
1267,3,3.984384
8661,3,3.985408
3169,3,3.984384
6587,3,3.987456
3467,3,4.0192
1589,3,4.426752
4991,3,3.984384
8213,3,3.98848
8739,3,4.011008
9563,3,3.994624
9781,3,4.026368
2949,3,3.98336
8769,3,4.00896
7603,3,3.990528
5909,3,3.98848
6009,3,3.986432
2287,3,3.992576
3061,3,4.01408
1249,3,4.02432
6713,3,3.986432
5653,3,5.031936
9949,3,3.985408
7373,3,3.986432
2997,3,3.994624
1191,3,3.98848
3797,3,3.984384
6853,3,3.991552
9403,3,3.98848
8089,3,4.00896
7099,3,3.98848
8773,3,4.02432
76399,4,4.00896
41609,4,4.00384
96443,4,3.98848
68741,4,3.986432
98791,4,4.40832
33081,4,3.987456
89427,4,4.015104
47511,4,4.0192
58481,4,4.859904
63861,4,3.999744
42621,4,3.9936
32083,4,3.989504
48241,4,4.133888
75709,4,4.87936
84779,4,4.579328
79129,4,4.854784
54879,4,3.984384
83973,4,4.012032
23713,4,4.868096
95899,4,3.98848
28119,4,4.021248
93181,4,3.987456
87543,4,3.992576
78339,4,3.985408
10213,4,3.98336
63609,4,3.985408
29463,4,4.035584
85027,4,4.038656
31603,4,3.986432
91213,4,3.985408
25271,4,3.9936
10183,4,3.98848
16619,4,3.986432
33921,4,3.992576
95991,4,3.989504
39839,4,3.989504
91109,4,3.991552
74119,4,3.986432
11637,4,3.992576
30839,4,3.985408
13207,4,4.026368
16631,4,4.744192
41891,4,4.417536
23257,4,4.294656
52939,4,3.989504
79679,4,4.881408
83829,4,3.989504
34249,4,4.447232
31201,4,4.861952
64527,4,3.991552
40863,4,3.985408
37061,4,3.98848
77597,4,4.310016
44179,4,3.984384
94213,4,3.990528
83597,4,4.013056
70577,4,4.025344
13833,4,4.050944
51923,4,3.98848
51871,4,4.281344
76789,4,3.994624
57783,4,4.033536
28923,4,3.987456
90141,4,3.990528
86193,4,3.986432
47591,4,3.989504
46279,4,4.870144
14529,4,3.984384
79699,4,3.99872
34023,4,3.989504
30321,4,3.989504
57987,4,3.98848
82309,4,3.987456
13657,4,3.990528
45311,4,3.987456
41769,4,4.01408
63497,4,4.025344
52501,4,3.989504
27037,4,3.989504
97977,4,3.986432
50353,4,3.991552
68723,4,4.886528
77679,4,3.992576
23853,4,3.987456
49609,4,4.03456
86179,4,3.98336
46681,4,4.429824
67521,4,3.987456
86821,4,3.986432
54567,4,3.995648
62601,4,3.98336
63891,4,3.991552
56037,4,3.994624
27301,4,3.98848
90951,4,4.580352
62131,4,3.986432
79189,4,4.28544
99169,4,3.986432
37357,4,3.99872
94139,4,3.987456
184399,5,4.134912
749019,5,4.862976
639381,5,4.017152
879243,5,3.994624
951279,5,3.98848
969427,5,3.995648
174859,5,3.986432
651519,5,4.875264
717369,5,3.987456
797549,5,4.006912
324981,5,4.016128
484661,5,4.943872
173469,5,4.13184
258321,5,5.011456
173827,5,3.990528
507441,5,3.986432
226237,5,4.026368
384641,5,3.992576
386613,5,3.98848
501387,5,4.048896
685067,5,5.010432
473439,5,4.85376
543967,5,4.43392
959349,5,4.563968
242741,5,4.012032
907971,5,3.984384
507567,5,3.985408
765321,5,3.986432
733309,5,4.882432
308071,5,3.986432
835743,5,3.984384
234851,5,3.991552
995563,5,4.855808
330157,5,3.990528
977561,5,3.987456
734187,5,4.041728
240879,5,3.991552
550671,5,3.986432
140701,5,3.9936
449331,5,3.990528
649211,5,3.984384
943819,5,4.00896
875861,5,3.991552
678673,5,4.033536
782333,5,3.992576
816463,5,3.992576
630621,5,3.999744
540077,5,3.98848
972651,5,3.989504
172161,5,4.13184
371469,5,4.739072
978683,5,3.98848
147731,5,3.987456
316417,5,4.001792
190219,5,3.991552
634269,5,3.986432
430439,5,3.984384
919859,5,3.984384
229653,5,3.987456
546273,5,3.984384
184323,5,4.005888
736857,5,3.984384
639859,5,3.986432
695987,5,4.25472
990431,5,3.98848
954153,5,3.986432
133941,5,4.554752
146289,5,3.987456
833399,5,4.590592
378469,5,3.995648
985157,5,3.996672
262101,5,3.98848
453857,5,3.995648
457343,5,4.91008
315463,5,3.990528
955413,5,4.001792
972991,5,4.009984
428149,5,4.078592
438469,5,4.022272
