Number,Order of Magnitude,Time
4781,3,0.0002
2251,3,0.0006
3689,3,0.0002
3987,3,0.0001
1027,3,0.0002
1397,3,0.0003
9847,3,0.0005
5743,3,0.0006
5557,3,0.0006
3031,3,0.0002
7971,3,0.0005
2529,3,0.0002
6957,3,0.0002
2517,3,0.0002
9007,3,0.0007
1331,3,0.0003
2457,3,0.0002
5331,3,0.0002
8281,3,0.0002
5593,3,0.0002
5611,3,0.0007
2467,3,0.0005
7673,3,0.0006
8973,3,0.0002
4881,3,0.0002
1437,3,0.0002
1709,3,0.0005
5963,3,0.0006
9581,3,0.0002
6557,3,0.0006
7959,3,0.0002
7887,3,0.0002
1591,3,0.0004
3311,3,0.0002
8397,3,0.0002
8947,3,0.0003
5661,3,0.0002
2683,3,0.0006
3313,3,0.0005
9187,3,0.0008
4247,3,0.0003
2163,3,0.0002
4187,3,0.0005
1019,3,0.0004
1867,3,0.0005
4549,3,0.0006
4547,3,0.0005
2091,3,0.0002
9741,3,0.0002
8457,3,0.0001
7601,3,0.0003
3253,3,0.0006
3887,3,0.0003
7621,3,0.0008
1019,3,0.0005
5263,3,0.0004
9249,3,0.0002
1953,3,0.0002
4183,3,0.0005
4581,3,0.0002
4551,3,0.0002
3227,3,0.0002
3963,3,0.0002
2589,3,0.0001
6459,3,0.0002
4037,3,0.0003
2967,3,0.0002
8903,3,0.0003
1993,3,0.0005
1267,3,0.0003
8661,3,0.0002
3169,3,0.0005
6587,3,0.0002
3467,3,0.0005
1589,3,0.0003
4991,3,0.0002
8213,3,0.0005
8739,3,0.0002
9563,3,0.0006
9781,3,0.0008
2949,3,0.0002
8769,3,0.0002
7603,3,0.0008
5909,3,0.0003
6009,3,0.0003
2287,3,0.0005
3061,3,0.0005
1249,3,0.0005
6713,3,0.0003
5653,3,0.0007
9949,3,0.0008
7373,3,0.0005
2997,3,0.0002
1191,3,0.0002
3797,3,0.0005
6853,3,0.0002
9403,3,0.0007
8089,3,0.0007
7099,3,0.0004
8773,3,0.0003
76399,4,0.0003
41609,4,0.0014
96443,4,0.0019
68741,4,0.0005
98791,4,0.0003
33081,4,0.0002
89427,4,0.0002
47511,4,0.0002
58481,4,0.0015
63861,4,0.0002
42621,4,0.0002
32083,4,0.0019
48241,4,0.0003
75709,4,0.0019
84779,4,0.0003
79129,4,0.0005
54879,4,0.0002
83973,4,0.0001
